Make,Model,Year,Type,Range,MSRP,VIN (1-10),Country,City, State, Postal Code,Eligibility,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
AUDI,Q5 E,2021,Plug-in Hybrid Electric Vehicle (PHEV),18,0,WA1E2AFY4M,Snohomish,Lynnwood,WA,98036,Not eligible due to low battery range,1,168371122,POINT (-122.3164188 47.819664),PUGET SOUND ENERGY INC,53061051913
TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,0,5YJ3E1EA9J,Snohomish,Lynnwood,WA,98036,Clean Alternative Fuel Vehicle Eligible,32,218281059,POINT (-122.3164188 47.819664),PUGET SOUND ENERGY INC,53061051402
TESLA,MODEL X,2019,Battery Electric Vehicle (BEV),289,0,5YJXCDE26K,King,Bellevue,WA,98007,Clean Alternative Fuel Vehicle Eligible,48,138386559,POINT (-122.147385 47.599975),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023603
BMW,I3,2016,Plug-in Hybrid Electric Vehicle (PHEV),72,0,WBY1Z4C52G,Thurston,Lacey,WA,98503,Clean Alternative Fuel Vehicle Eligible,22,222512510,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011422
RIVIAN,R1S,2023,Battery Electric Vehicle (BEV),0,0,7PDSGABA9P,Yakima,Yakima,WA,98903,Eligibility unknown as battery range has not been researched,14,251309873,POINT (-120.477805 46.553505),PACIFICORP,53077002803
TESLA,MODEL S,2018,Battery Electric Vehicle (BEV),249,0,5YJSA1E26J,Snohomish,Bothell,WA,98012,Clean Alternative Fuel Vehicle Eligible,1,104762962,POINT (-122.1876761 47.820517),PUGET SOUND ENERGY INC,53061052009
TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,0,5YJ3E1EB0K,King,Seattle,WA,98125,Clean Alternative Fuel Vehicle Eligible,46,182562943,POINT (-122.296385 47.71558),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000900
TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,0,5YJ3E1EB2J,Yakima,Selah,WA,98942,Clean Alternative Fuel Vehicle Eligible,15,339461762,POINT (-120.54188 46.654175),PACIFICORP,53077003400
TESLA,MODEL S,2016,Battery Electric Vehicle (BEV),210,0,5YJSA1E25G,Kitsap,Kingston,WA,98346,Clean Alternative Fuel Vehicle Eligible,23,2683355,POINT (-122.50156 47.8019),PUGET SOUND ENERGY INC,53035090102
NISSAN,LEAF,2012,Battery Electric Vehicle (BEV),73,0,JN1AZ0CP9C,King,Seattle,WA,98199,Clean Alternative Fuel Vehicle Eligible,36,243714712,POINT (-122.394185 47.639195),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005700
NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,0,1N4AZ0CP2G,Kitsap,Bremerton,WA,98310,Clean Alternative Fuel Vehicle Eligible,23,155705840,POINT (-122.611365 47.575195),PUGET SOUND ENERGY INC,53035091800
TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,0,5YJ3E1EA7K,King,Seattle,WA,98146,Clean Alternative Fuel Vehicle Eligible,34,8462394,POINT (-122.355145 47.505655),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033012100
KIA,NIRO,2019,Battery Electric Vehicle (BEV),239,0,KNDCE3LG6K,King,Bellevue,WA,98004,Clean Alternative Fuel Vehicle Eligible,41,6273487,POINT (-122.201905 47.61385),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023801
NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,0,1N4BZ0CP2G,King,Seattle,WA,98105,Clean Alternative Fuel Vehicle Eligible,46,199424130,POINT (-122.319115 47.66132),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004101
TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),266,0,5YJ3E1EA5L,King,Kirkland,WA,98034,Clean Alternative Fuel Vehicle Eligible,45,102664061,POINT (-122.209285 47.71124),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021903
NISSAN,LEAF,2014,Battery Electric Vehicle (BEV),84,0,1N4AZ0CP4E,Thurston,Tumwater,WA,98501,Clean Alternative Fuel Vehicle Eligible,22,185011858,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010802
FIAT,500,2014,Battery Electric Vehicle (BEV),87,0,3C3CFFGE6E,Thurston,Lacey,WA,98503,Clean Alternative Fuel Vehicle Eligible,22,122970620,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011200
AUDI,A3,2018,Plug-in Hybrid Electric Vehicle (PHEV),16,0,WAUTPBFF3J,King,Seattle,WA,98101,Not eligible due to low battery range,43,3291060,POINT (-122.33589 47.61099),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008102
