Make,Model,Year,Type,Range,MSRP,VIN (1-10),Country,City, State, Postal Code,Eligibility,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
BMW,330E,2023,Plug-in Hybrid Electric Vehicle (PHEV),20,0,3MW39FS02P,Kitsap,Port Orchard,WA,98367,Not eligible due to low battery range,35,244137120,POINT (-122.6851642 47.506453),PUGET SOUND ENERGY INC,53035092901
NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,0,1N4BZ1CP2K,King,Renton,WA,98057,Clean Alternative Fuel Vehicle Eligible,11,4870099,POINT (-122.21024 47.4797047),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033026200
AUDI,A3,2017,Plug-in Hybrid Electric Vehicle (PHEV),16,0,WAUTPBFF2H,King,Bellevue,WA,98008,Not eligible due to low battery range,48,159300466,POINT (-122.11832 47.6245),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023300
CHRYSLER,PACIFICA,2023,Plug-in Hybrid Electric Vehicle (PHEV),32,0,2C4RC1L73P,King,Tukwila,WA,98188,Clean Alternative Fuel Vehicle Eligible,11,236367519,POINT (-122.29179 47.43473),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028200
TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,0,5YJ3E1EA7K,King,Seatac,WA,98188,Clean Alternative Fuel Vehicle Eligible,33,216597293,POINT (-122.29179 47.43473),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028300
FORD,FOCUS,2013,Battery Electric Vehicle (BEV),76,0,1FADP3R40D,Thurston,Tumwater,WA,98501,Clean Alternative Fuel Vehicle Eligible,35,230763249,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067011720
CHRYSLER,PACIFICA,2018,Plug-in Hybrid Electric Vehicle (PHEV),33,0,2C4RC1N79J,Kitsap,Suquamish,WA,98392,Clean Alternative Fuel Vehicle Eligible,23,176286988,POINT (-122.55717 47.733415),PUGET SOUND ENERGY INC,53035940100
KIA,SORENTO,2022,Plug-in Hybrid Electric Vehicle (PHEV),32,0,KNDRJDLH0N,Yakima,Yakima,WA,98908,Clean Alternative Fuel Vehicle Eligible,14,209591812,POINT (-120.6027202 46.5965625),PACIFICORP,53077000800
FORD,FUSION,2017,Plug-in Hybrid Electric Vehicle (PHEV),21,0,3FA6P0SU1H,Island,Oak Harbor,WA,98277,Not eligible due to low battery range,10,250570589,POINT (-122.67499 48.287295),PUGET SOUND ENERGY INC,53029970500
TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,0,5YJ3E1EA8K,Snohomish,Bothell,WA,98012,Clean Alternative Fuel Vehicle Eligible,1,338436920,POINT (-122.1876761 47.820517),PUGET SOUND ENERGY INC,53061052107
KIA,NIRO,2023,Plug-in Hybrid Electric Vehicle (PHEV),33,0,KNDCS3LF7P,King,Shoreline,WA,98133,Clean Alternative Fuel Vehicle Eligible,32,240355930,POINT (-122.34584 47.76726),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020700
TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,0,5YJ3E1EBXK,King,Shoreline,WA,98177,Clean Alternative Fuel Vehicle Eligible,32,310953751,POINT (-122.382425 47.77279),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020100
CHEVROLET,BOLT EV,2020,Battery Electric Vehicle (BEV),259,0,1G1FZ6S0XL,Kitsap,Seabeck,WA,98380,Clean Alternative Fuel Vehicle Eligible,35,138832844,POINT (-122.847462 47.63836),PUGET SOUND ENERGY INC,53035092000
TESLA,MODEL Y,2023,Battery Electric Vehicle (BEV),0,0,7SAYGDEE7P,King,Renton,WA,98058,Eligibility unknown as battery range has not been researched,11,251366160,POINT (-122.1298876 47.4451257),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029304
NISSAN,LEAF,2018,Battery Electric Vehicle (BEV),151,0,1N4AZ1CP3J,Island,Coupeville,WA,98239,Clean Alternative Fuel Vehicle Eligible,10,290902181,POINT (-122.6880708 48.2179983),PUGET SOUND ENERGY INC,53029971000
HYUNDAI,TUCSON,2023,Plug-in Hybrid Electric Vehicle (PHEV),33,0,KM8JFDA26P,Snohomish,Monroe,WA,98272,Clean Alternative Fuel Vehicle Eligible,39,252501987,POINT (-121.972215 47.85674),PUGET SOUND ENERGY INC,53061052203
TESLA,MODEL X,2016,Battery Electric Vehicle (BEV),200,0,5YJXCBE41G,Kitsap,Silverdale,WA,98383,Clean Alternative Fuel Vehicle Eligible,23,226085744,POINT (-122.668076 47.665978),PUGET SOUND ENERGY INC,53035091302
BMW,I3,2014,Plug-in Hybrid Electric Vehicle (PHEV),72,0,WBY1Z4C53E,Kitsap,Bainbridge Island,WA,98110,Clean Alternative Fuel Vehicle Eligible,23,243689834,POINT (-122.5235781 47.6293323),PUGET SOUND ENERGY INC,53035091002
NISSAN,LEAF,2012,Battery Electric Vehicle (BEV),73,0,JN1AZ0CP4C,King,Shoreline,WA,98155,Clean Alternative Fuel Vehicle Eligible,32,134679240,POINT (-122.3175 47.7578146),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033021300
KIA,SORENTO,2022,Plug-in Hybrid Electric Vehicle (PHEV),32,0,KNDRJDLH5N,Thurston,Yelm,WA,98597,Clean Alternative Fuel Vehicle Eligible,2,207310582,POINT (-122.61023 46.94126),PUGET SOUND ENERGY INC,53067012530
NISSAN,LEAF,2020,Battery Electric Vehicle (BEV),149,0,1N4AZ1CP9L,King,Redmond,WA,98052,Clean Alternative Fuel Vehicle Eligible,45,132454822,POINT (-122.12302 47.67668),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032323
CHEVROLET,BOLT EV,2017,Battery Electric Vehicle (BEV),238,0,1G1FX6S03H,King,Kirkland,WA,98033,Clean Alternative Fuel Vehicle Eligible,48,208875887,POINT (-122.20264 47.6785),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022604
NISSAN,LEAF,2012,Battery Electric Vehicle (BEV),73,0,JN1AZ0CP5C,Snohomish,Lake Stevens,WA,98258,Clean Alternative Fuel Vehicle Eligible,44,165573152,POINT (-122.112265 48.0047),PUGET SOUND ENERGY INC,53061052607
TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,0,5YJYGDEE8L,Thurston,Tumwater,WA,98501,Clean Alternative Fuel Vehicle Eligible,35,124633715,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067011720
NISSAN,LEAF,2012,Battery Electric Vehicle (BEV),73,0,JN1AZ0CP1C,King,Kenmore,WA,98028,Clean Alternative Fuel Vehicle Eligible,46,158914675,POINT (-122.2504747 47.7617128),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022102
TESLA,MODEL X,2020,Battery Electric Vehicle (BEV),289,0,5YJXCDE4XL,Thurston,Olympia,WA,98502,Clean Alternative Fuel Vehicle Eligible,22,127274675,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067011100
CHRYSLER,PACIFICA,2020,Plug-in Hybrid Electric Vehicle (PHEV),32,0,2C4RC1N70L,Thurston,Olympia,WA,98501,Clean Alternative Fuel Vehicle Eligible,22,139479049,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010400
TESLA,MODEL S,2013,Battery Electric Vehicle (BEV),208,69900,5YJSA1CG3D,King,Seattle,WA,98112,Clean Alternative Fuel Vehicle Eligible,43,113783820,POINT (-122.306935 47.62441),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300
NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,0,1N4AZ0CP9D,King,Tukwila,WA,98168,Clean Alternative Fuel Vehicle Eligible,11,164742420,POINT (-122.286465 47.476),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026200
TESLA,MODEL S,2013,Battery Electric Vehicle (BEV),208,69900,5YJSA1DP8D,Snohomish,Stanwood,WA,98292,Clean Alternative Fuel Vehicle Eligible,10,111162012,POINT (-122.3684051 48.2414921),PUGET SOUND ENERGY INC,53061053202
TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,0,5YJ3E1EB2L,King,Kirkland,WA,98034,Clean Alternative Fuel Vehicle Eligible,45,131352910,POINT (-122.209285 47.71124),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021903
CHEVROLET,BOLT EV,2018,Battery Electric Vehicle (BEV),238,0,1G1FX6S01J,King,Kirkland,WA,98034,Clean Alternative Fuel Vehicle Eligible,45,140466784,POINT (-122.209285 47.71124),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021903
TESLA,MODEL S,2015,Battery Electric Vehicle (BEV),208,0,5YJSA1H44F,Kitsap,Seabeck,WA,98380,Clean Alternative Fuel Vehicle Eligible,35,206285075,POINT (-122.847462 47.63836),PUGET SOUND ENERGY INC,53035091301
TESLA,MODEL 3,2023,Battery Electric Vehicle (BEV),0,0,5YJ3E1EA4P,Kitsap,Poulsbo,WA,98370,Eligibility unknown as battery range has not been researched,23,233664560,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035090502
TOYOTA,RAV4,2013,Battery Electric Vehicle (BEV),103,0,2T3YL4DV7D,King,Seattle,WA,98109,Clean Alternative Fuel Vehicle Eligible,36,319368647,POINT (-122.34848 47.632405),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006000
CHEVROLET,BOLT EV,2017,Battery Electric Vehicle (BEV),238,0,1G1FW6S01H,King,Renton,WA,98056,Clean Alternative Fuel Vehicle Eligible,41,348344237,POINT (-122.180505 47.500055),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025201
KIA,SPORTAGE,2023,Plug-in Hybrid Electric Vehicle (PHEV),34,0,KNDPZDAH8P,Kitsap,Poulsbo,WA,98370,Clean Alternative Fuel Vehicle Eligible,23,241599438,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035090201
CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,0,1G1RC6S55H,Kitsap,Silverdale,WA,98383,Clean Alternative Fuel Vehicle Eligible,23,101042105,POINT (-122.668076 47.665978),PUGET SOUND ENERGY INC,53035091205
BMW,X5,2022,Plug-in Hybrid Electric Vehicle (PHEV),30,0,5UXTA6C04N,Kitsap,Bremerton,WA,98312,Clean Alternative Fuel Vehicle Eligible,35,194341269,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035080900
TESLA,MODEL X,2018,Battery Electric Vehicle (BEV),238,0,5YJXCDE22J,King,Medina,WA,98039,Clean Alternative Fuel Vehicle Eligible,48,280926523,POINT (-122.228025 47.61598),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033024200
NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,0,1N4AZ0CP4D,Kitsap,Kingston,WA,98346,Clean Alternative Fuel Vehicle Eligible,23,176159819,POINT (-122.50156 47.8019),PUGET SOUND ENERGY INC,53035090102
BMW,I3,2014,Battery Electric Vehicle (BEV),81,0,WBY1Z2C51E,Thurston,Olympia,WA,98502,Clean Alternative Fuel Vehicle Eligible,22,149282514,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067010600
TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,0,5YJ3E1EB0K,Kitsap,Kingston,WA,98346,Clean Alternative Fuel Vehicle Eligible,23,477091646,POINT (-122.50156 47.8019),PUGET SOUND ENERGY INC,53035090101
KIA,NIRO,2019,Battery Electric Vehicle (BEV),239,0,KNDCE3LG0K,King,Seattle,WA,98122,Clean Alternative Fuel Vehicle Eligible,37,327927162,POINT (-122.30839 47.610365),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008800
NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,0,1N4BZ1CP2K,King,Bellevue,WA,98004,Clean Alternative Fuel Vehicle Eligible,48,9139105,POINT (-122.201905 47.61385),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023806
TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,0,5YJ3E1EA3J,King,Redmond,WA,98052,Clean Alternative Fuel Vehicle Eligible,45,474970905,POINT (-122.12302 47.67668),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032323
TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,0,5YJYGDEE8L,King,Bellevue,WA,98006,Clean Alternative Fuel Vehicle Eligible,41,127469842,POINT (-122.16937 47.571015),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024901
CHEVROLET,BOLT EV,2018,Battery Electric Vehicle (BEV),238,0,1G1FX6S07J,Snohomish,Bothell,WA,98021,Clean Alternative Fuel Vehicle Eligible,1,262298739,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051918
MINI,HARDTOP,2021,Battery Electric Vehicle (BEV),110,0,WMWXP3C09M,Snohomish,Bothell,WA,98021,Clean Alternative Fuel Vehicle Eligible,1,196081084,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051917
TESLA,MODEL S,2014,Battery Electric Vehicle (BEV),208,69900,5YJSA1S10E,Kitsap,Kingston,WA,98346,Clean Alternative Fuel Vehicle Eligible,23,184590640,POINT (-122.50156 47.8019),PUGET SOUND ENERGY INC,53035090101
TESLA,MODEL S,2017,Battery Electric Vehicle (BEV),210,0,5YJSA1E25H,Kitsap,Port Orchard,WA,98367,Clean Alternative Fuel Vehicle Eligible,35,266461135,POINT (-122.6851642 47.506453),PUGET SOUND ENERGY INC,53035092902
TESLA,MODEL 3,2023,Battery Electric Vehicle (BEV),0,0,5YJ3E1EA9P,King,Kirkland,WA,98034,Eligibility unknown as battery range has not been researched,45,229990057,POINT (-122.209285 47.71124),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021903
